# format org.openvanilla.mcbopomofo.sorted
七-ㄑㄧ-月-ㄩㄝˋ -4.1578
七-ㄑㄧ-月-ㄩㄝˋ-份-ㄈㄣˋ -4.9693
七-ㄑㄧ-次-ㄘˋ -5.7736
七-ㄑㄧ-百-ㄅㄞˇ -4.6068
七-ㄑㄧ-絕-ㄐㄩㄝˊ -5.5587
七-ㄑㄧ-股-ㄍㄨˇ -5.5694
七-ㄑㄧ-萬-ㄨㄢˋ -5.0223
七-ㄑㄧ-葷-ㄏㄨㄣ-八-ㄅㄚ-素-ㄙㄨˋ -5.8317
七-ㄑㄧ-號-ㄏㄠˋ -4.9462
七-ㄑㄧ-言-ㄧㄢˊ -5.6944
七-ㄑㄧ-言-ㄧㄢˊ-律-ㄌㄩˋ-詩-ㄕ -5.8317
七-ㄑㄧ-言-ㄧㄢˊ-絕-ㄐㄩㄝˊ-句-ㄐㄩˋ -5.5306
七-ㄑㄧ-里-ㄌㄧˇ-香-ㄒㄧㄤ -5.8370
七-ㄑㄧ-零-ㄌㄧㄥˊ-八-ㄅㄚ-落-ㄌㄨㄛˋ -5.8317
七-ㄑㄧ-零-ㄌㄧㄥˊ-年-ㄋㄧㄢˊ-代-ㄉㄞˋ -4.6186
七-ㄑㄧ-點-ㄉㄧㄢˇ -4.6556
七-ㄑㄧ-點-ㄉㄧㄢˇ-二-ㄦˋ-十-ㄕˊ -5.8317
七-ㄑㄧ-點-ㄉㄧㄢˇ-鐘-ㄓㄨㄥ -5.6610
七-ㄑㄧ-龍-ㄌㄨㄥˊ-珠-ㄓㄨ -5.6610
丈-ㄓㄤˋ-二-ㄦˋ-和-ㄏㄜˊ-尚-ㄕㄤˋ -6.3088
丈-ㄓㄤˋ-二-ㄦˋ-金-ㄐㄧㄣ-剛-ㄍㄤ -6.3088
丈-ㄓㄤˋ-人-ㄖㄣˊ -6.0923
丈-ㄓㄤˋ-夫-ㄈㄨ -4.4682
丈-ㄓㄤˋ-母-ㄇㄨˇ -5.9411
丈-ㄓㄤˋ-母-ㄇㄨˇ-娘-ㄋㄧㄤˊ -5.8950
丈-ㄓㄤˋ-量-ㄌㄧㄤˊ -6.3264
丈-ㄓㄤˋ-量-ㄌㄧㄤˊ-法-ㄈㄚˇ -7.0412
三-ㄙㄢ-七-ㄑㄧ-二-ㄦˋ-十-ㄕˊ-一-ㄧ -5.0323
三-ㄙㄢ-不-ㄅㄨˋ-五-ㄨˇ-時-ㄕˊ -4.9108
三-ㄙㄢ-五-ㄨˇ-族-ㄗㄨˊ-半-ㄅㄢˋ-導-ㄉㄠˇ-體-ㄊㄧˇ -4.6679
三-ㄙㄢ-人-ㄖㄣˊ -4.9360
三-ㄙㄢ-位-ㄨㄟˋ -4.9090
三-ㄙㄢ-個-ㄍㄜ˙ -4.0859
三-ㄙㄢ-個-ㄍㄜ˙-人-ㄖㄣˊ -4.7907
三-ㄙㄢ-個-ㄍㄜ˙-小-ㄒㄧㄠˇ-時-ㄕˊ -4.7067
三-ㄙㄢ-個-ㄍㄜ˙-月-ㄩㄝˋ -4.2945
三-ㄙㄢ-億-ㄧˋ -4.9285
三-ㄙㄢ-分-ㄈㄣ -4.4415
三-ㄙㄢ-分-ㄈㄣ-之-ㄓ-一-ㄧ -3.9196
三-ㄙㄢ-分-ㄈㄣ-之-ㄓ-二-ㄦˋ -4.2016
三-ㄙㄢ-十-ㄕˊ -3.6315
三-ㄙㄢ-十-ㄕˊ-一-ㄧ -4.3672
三-ㄙㄢ-十-ㄕˊ-七-ㄑㄧ -4.6574
三-ㄙㄢ-十-ㄕˊ-三-ㄙㄢ -4.5387
三-ㄙㄢ-十-ㄕˊ-五-ㄨˇ -4.3319
三-ㄙㄢ-十-ㄕˊ-八-ㄅㄚ -4.5848
三-ㄙㄢ-十-ㄕˊ-六-ㄌㄧㄡˋ -4.4413
三-ㄙㄢ-十-ㄕˊ-六-ㄌㄧㄡˋ-計-ㄐㄧˋ-走-ㄗㄡˇ-為-ㄨㄟˊ-上-ㄕㄤˋ-策-ㄘㄜˋ -4.8843
三-ㄙㄢ-十-ㄕˊ-四-ㄙˋ -4.5818
三-ㄙㄢ-十-ㄕˊ-多-ㄉㄨㄛ -4.5470
三-ㄙㄢ-十-ㄕˊ-幾-ㄐㄧˇ -4.9408
三-ㄙㄢ-十-ㄕˊ-萬-ㄨㄢˋ -4.5728
三-ㄙㄢ-千-ㄑㄧㄢ -4.3034
三-ㄙㄢ-千-ㄑㄧㄢ-多-ㄉㄨㄛ -4.8056
三-ㄙㄢ-合-ㄏㄜˊ-一-ㄧ -4.8006
三-ㄙㄢ-大-ㄉㄚˋ -4.9728
三-ㄙㄢ-天-ㄊㄧㄢ -4.6815
三-ㄙㄢ-寸-ㄘㄨㄣˋ-不-ㄅㄨˊ-爛-ㄌㄢˋ-之-ㄓ-舌-ㄕㄜˊ -4.7471
三-ㄙㄢ-寸-ㄘㄨㄣˋ-不-ㄅㄨˋ-爛-ㄌㄢˋ-之-ㄓ-舌-ㄕㄜˊ -4.7471
三-ㄙㄢ-峽-ㄒㄧㄚˊ -4.8452
三-ㄙㄢ-年-ㄋㄧㄢˊ -3.9715
三-ㄙㄢ-年-ㄋㄧㄢˊ-級-ㄐㄧˊ -4.4457
三-ㄙㄢ-度-ㄉㄨˋ-空-ㄎㄨㄥ-間-ㄐㄧㄢ -5.0300
三-ㄙㄢ-成-ㄔㄥˊ -4.9674
三-ㄙㄢ-日-ㄖˋ -4.4639
三-ㄙㄢ-明-ㄇㄧㄥˊ-治-ㄓˋ -4.9998
三-ㄙㄢ-更-ㄍㄥ-半-ㄅㄢˋ-夜-ㄧㄝˋ -5.0535
三-ㄙㄢ-月-ㄩㄝˋ -4.2766
三-ㄙㄢ-次-ㄘˋ -4.8973
三-ㄙㄢ-民-ㄇㄧㄣˊ -5.0412
三-ㄙㄢ-民-ㄇㄧㄣˊ-主-ㄓㄨˇ-義-ㄧˋ -4.6556
三-ㄙㄢ-溫-ㄨㄣ-暖-ㄋㄨㄢˇ -4.9206
三-ㄙㄢ-百-ㄅㄞˇ -4.1297
三-ㄙㄢ-百-ㄅㄞˇ-六-ㄌㄧㄡˋ-十-ㄕˊ -4.4763
三-ㄙㄢ-百-ㄅㄞˇ-多-ㄉㄨㄛ -4.5848
三-ㄙㄢ-百-ㄅㄞˇ-萬-ㄨㄢˋ -4.5818
三-ㄙㄢ-萬-ㄨㄢˋ -4.6092
三-ㄙㄢ-號-ㄏㄠˋ -4.9186
三-ㄙㄢ-角-ㄐㄧㄠˇ -4.7753
